<?php  if ( ! defined('BASEPATH')) exit('No direct script access allowed'); ?>
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:19 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:20 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:20 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:20 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
ERROR - 2014-02-20 03:21:20 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 202
ERROR - 2014-02-20 03:21:20 --> Severity: Notice  --> Trying to get property of non-object C:\xampp\htdocs\dkdt\application\controllers\c_home.php 201
